3,35,38,40,57,58
8,28,36,45,57,59
6,16,22,38,48,52
10,14,16,30,32,36
10,24,42,43,48,49
1,19,21,23,33,43
4,10,18,30,34,47
5,7,10,32,46,60
23,26,51,52,53,58
27,36,40,41,44,54
11,17,24,25,33,34
22,25,28,32,33,47
16,25,30,40,45,49
6,10,11,43,53,55
6,27,38,42,45,57
12,21,28,37,42,57
1,28,29,32,35,56
17,34,46,49,50,57
11,29,37,38,43,60
3,13,23,41,49,53
11,15,28,36,43,55
15,23,30,35,38,44
1,11,34,36,44,56
3,11,29,35,44,57
1,25,27,28,41,56
14,24,32,38,46,53
8,16,20,21,31,34
7,8,22,27,29,42
7,16,37,53,57,59
4,8,26,33,46,53
5,9,20,25,35,53
4,11,16,22,29,33
2,17,21,28,51,60
10,11,16,21,46,50
12,18,19,27,41,46
9,18,19,22,42,47
15,36,45,51,52,59
13,26,30,34,43,51
19,22,39,46,47,59
1,8,19,33,36,48
10,12,16,21,28,38
2,13,24,35,50,54
2,16,21,42,50,56
9,11,14,31,48,51
8,23,25,39,43,44
7,25,32,43,53,55
10,15,34,36,56,60
2,9,42,44,48,50
9,24,28,37,43,57
12,13,19,36,44,55
10,21,24,36,38,51
7,34,45,51,54,59
1,4,25,27,29,37
27,37,38,43,45,54
3,19,34,44,56,58
5,37,43,49,54,56
16,17,25,47,48,58
8,18,20,24,36,45
11,16,22,30,34,42
8,9,10,24,42,44
1,19,46,47,49,53
14,26,35,38,45,53
9,27,35,45,46,59
31,33,34,35,39,48
1,6,23,26,39,49
2,6,27,37,44,47
7,25,41,47,50,53
8,13,28,31,32,33
26,29,36,49,50,59
2,14,18,29,36,38
23,24,26,38,42,49
21,23,37,44,46,48
8,15,32,33,58,59
17,19,37,41,42,49
16,18,31,39,42,44
6,8,28,51,53,59
7,16,21,33,55,60
2,12,35,51,57,58
7,40,44,50,52,57
10,11,17,19,37,41
17,20,26,36,42,54
14,23,29,41,57,58
4,13,14,21,30,34
1,2,11,12,34,49
1,8,11,22,30,35
9,23,28,40,48,59
6,21,34,46,54,59
19,20,26,51,52,57
5,18,30,35,39,60
2,3,6,18,20,28
13,16,36,53,54,55
6,12,31,32,46,60
11,16,24,46,54,55
1,7,28,30,44,46
7,12,24,27,39,58
1,31,44,46,53,58
2,11,20,31,43,47
14,15,47,50,56,59
3,11,15,21,27,49
8,10,17,29,37,40
13,20,24,25,38,41
19,21,26,31,42,49
11,12,20,40,41,46
4,28,29,30,43,52
1,9,19,21,34,54
4,19,27,35,40,44
17,25,30,35,42,57
11,14,21,25,46,50
17,39,43,46,52,53
1,41,44,46,54,58
