37,39,47,50,59,60
12,18,22,31,44,50
29,32,33,35,38,43
4,12,14,41,46,53
12,17,43,44,48,60
6,26,32,35,37,49
3,7,15,22,24,50
9,18,33,38,41,51
8,18,26,27,47,50
6,7,25,28,31,52
16,22,29,35,38,49
10,11,19,33,58,60
11,23,45,53,57,59
9,13,25,39,46,54
7,8,14,19,32,45
5,9,14,30,38,50
6,12,32,44,51,57
19,22,37,44,51,56
4,5,17,20,48,52
9,12,20,30,32,35
2,10,18,25,34,44
3,13,16,25,27,33
2,6,10,14,34,56
3,20,45,52,53,58
19,25,43,44,48,49
13,15,53,54,55,58
5,24,25,33,38,41
1,25,29,43,46,48
4,5,10,34,58,59
1,6,10,30,33,35
9,15,23,25,29,30
10,25,31,37,38,57
3,23,28,34,38,48
20,23,32,36,39,57
25,38,45,53,55,56
2,5,27,30,46,53
12,20,22,25,26,55
10,28,45,47,57,59
2,8,28,34,41,49
1,23,32,33,36,59
6,15,19,20,33,52
12,24,26,31,37,48
9,22,27,30,33,45
1,3,24,37,51,56
28,36,39,44,56,60
17,18,20,37,45,53
10,14,17,18,23,30
1,5,18,49,55,56
14,17,18,28,30,44
3,5,32,56,57,59
4,15,22,53,56,60
8,19,29,38,48,56
2,16,24,38,43,59
4,13,21,26,47,51
3,20,22,37,41,43
1,10,27,36,37,45
4,5,25,32,39,40
23,28,33,38,55,59
2,17,22,41,58,60
3,8,20,36,38,57
3,22,23,44,53,60
1,5,6,16,22,39
8,17,49,51,52,53
3,12,19,41,45,54
5,15,24,34,45,52
13,19,21,35,46,50
7,10,34,47,49,52
4,10,15,39,41,49
8,13,25,32,44,57
8,37,39,50,59,60
41,45,48,51,53,58
4,6,12,34,35,53
21,22,29,34,40,44
3,5,19,26,43,51
14,33,41,42,44,55
3,14,16,38,43,45
16,20,21,39,44,55
11,27,32,40,58,59
5,16,25,32,39,55
11,19,38,47,56,59
9,12,26,29,46,47
5,14,23,46,48,52
7,26,31,38,46,58
8,12,14,30,33,41
1,4,10,22,53,54
4,9,37,43,44,56
10,30,31,33,42,52
22,29,38,43,48,53
11,16,17,41,46,59
3,10,13,25,41,42
17,31,34,40,56,57
23,36,42,48,54,58
8,9,17,19,33,56
5,12,32,38,47,60
11,14,36,41,54,59
20,34,38,40,49,54
1,32,35,44,45,57
1,8,21,27,36,37
4,6,9,31,50,56
10,15,17,20,21,35
2,17,23,28,39,46
20,33,37,38,49,50
2,7,32,46,49,55
1,40,44,45,58,60
22,30,38,39,49,56
15,18,28,42,55,60
5,13,18,23,35,36
8,23,29,30,36,55
8,33,40,42,48,51
5,28,30,38,52,55
22,35,41,42,53,57
1,10,19,34,35,45
2,3,13,20,53,54
3,8,23,29,53,54
2,7,24,43,52,56
11,16,31,37,42,51
3,16,23,41,45,57
8,11,16,21,32,37
16,17,18,28,35,47
15,24,33,49,53,59
15,40,44,45,47,51
10,19,46,47,49,50
28,34,40,41,52,55
21,38,50,53,56,59
9,14,22,24,44,47
10,14,15,24,34,44
8,10,51,56,57,58
13,26,31,46,51,60
2,6,11,15,17,39
14,20,21,31,49,52
18,30,32,35,40,48
13,19,29,42,49,52
1,13,27,41,51,58
11,25,32,37,47,56
15,17,20,35,37,43
1,5,12,13,17,31
2,7,9,25,41,49
9,41,42,46,47,54
